Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
1,5,31-07-2015,5263,555,1,1,0,1
2,5,31-07-2015,6064,625,1,1,0,1
3,5,31-07-2015,8314,821,1,1,0,1
4,5,31-07-2015,13995,1498,1,1,0,1
5,5,31-07-2015,4822,559,1,1,0,1
6,5,31-07-2015,5651,589,1,1,0,1
7,5,31-07-2015,15344,1414,1,1,0,1
8,5,31-07-2015,8492,833,1,1,0,1
9,5,31-07-2015,8565,687,1,1,0,1
10,5,31-07-2015,7185,681,1,1,0,1
11,5,31-07-2015,10457,1236,1,1,0,1
12,5,31-07-2015,8959,962,1,1,0,1
13,5,31-07-2015,8821,568,1,1,0,0
14,5,31-07-2015,6544,710,1,1,0,1
15,5,31-07-2015,9191,766,1,1,0,1
16,5,31-07-2015,10231,979,1,1,0,1
17,5,31-07-2015,8430,946,1,1,0,1
18,5,31-07-2015,10071,936,1,1,0,1
19,5,31-07-2015,8234,718,1,1,0,1
20,5,31-07-2015,9593,974,1,1,0,0
21,5,31-07-2015,9515,682,1,1,0,1
22,5,31-07-2015,6566,633,1,1,0,0
23,5,31-07-2015,7273,560,1,1,0,1
24,5,31-07-2015,14190,1082,1,1,0,1
25,5,31-07-2015,14180,1586,1,1,0,1
1,4,30-07-2015,5020,546,1,1,0,1
2,4,30-07-2015,5567,601,1,1,0,1
3,4,30-07-2015,8977,823,1,1,0,1
4,4,30-07-2015,10387,1276,1,1,0,1
5,4,30-07-2015,4943,539,1,1,0,1
6,4,30-07-2015,4790,541,1,1,0,1
7,4,30-07-2015,11560,1116,1,1,0,1
8,4,30-07-2015,8420,882,1,1,0,1
9,4,30-07-2015,7539,651,1,1,0,1
10,4,30-07-2015,6186,556,1,1,0,1
11,4,30-07-2015,7361,874,1,1,0,1
12,4,30-07-2015,7996,835,1,1,0,1
13,4,30-07-2015,7648,474,1,1,0,0
14,4,30-07-2015,5672,613,1,1,0,1
15,4,30-07-2015,8891,741,1,1,0,1
16,4,30-07-2015,10226,953,1,1,0,1
17,4,30-07-2015,7555,850,1,1,0,1
18,4,30-07-2015,7361,710,1,1,0,1
19,4,30-07-2015,8400,687,1,1,0,1
20,4,30-07-2015,12379,1185,1,1,0,0
21,4,30-07-2015,6985,534,1,1,0,1
